0002888798,2,PRIMELENDING A PLAINSCAPITAL C,2009
0001189117,9,STATE EMPL CU,2009
0000032489,3,HOMESTREET BK,2009
0000852218,9,JPMORGAN CHASE BK NA,2009
0000940311,9,BANCO POPULAR DE PR,2009
0000018039,4,COUNTRYWIDE BANK  FSB,2009
47-0912342,7,PARAMOUNT EQUITY MORTGAGE INC.,2009
0471809999,7,GUILD MORTGAGE COMPANY,2009
0000032296,3,UNION SVG BK,2009
26-4599244,7,LOANDEPOT.COM,2016
7810600004,7,PROVIDENT FUNDING ASSOCIATES,2016
7505400005,7,STEARNS LENDING  INC.,2016
7197000003,7,QUICKEN LOANS  INC.,2016
0000019222,3,FREMONT BK,2016
7056000000,7,SIERRA PACIFIC MORTGAGE,2016
0000852320,9,BRANCH BKG&TC,2016
0000013044,1,BANK OF AMERICA  N.A.,2016
36-4327855,7,GUARANTEED RATE INC.,2016
0000012311,9,HUNTINGTON NB,2016
75-2921540,7,NATIONSTAR MORTGAGE LLC,2016
0002888798,2,PRIMELENDING A PLAINSCAPITAL C,2016
0001189117,9,STATE EMPL CU,2016
0000032489,3,HOMESTREET BK,2016
0000852218,9,JPMORGAN CHASE BK NA,2016
0000940311,9,BANCO POPULAR DE PR,2016
0000018039,4,COUNTRYWIDE BANK  FSB,2016
47-0912342,7,PARAMOUNT EQUITY MORTGAGE INC.,2016
0471809999,7,GUILD MORTGAGE COMPANY,2016
0000032296,3,UNION SVG BK,2016
26-4599244,7,LOANDEPOT.COM,2010
7810600004,7,PROVIDENT FUNDING ASSOCIATES,2010
7505400005,7,STEARNS LENDING  INC.,2010
7197000003,7,QUICKEN LOANS  INC.,2010
0000019222,3,FREMONT BK,2010
7056000000,7,SIERRA PACIFIC MORTGAGE,2010
0000852320,9,BRANCH BKG&TC,2010
0000013044,1,BANK OF AMERICA  N.A.,2010
36-4327855,7,GUARANTEED RATE INC.,2010
0000012311,9,HUNTINGTON NB,2010
75-2921540,7,NATIONSTAR MORTGAGE LLC,2010
0002888798,2,PRIMELENDING A PLAINSCAPITAL C,2010
0001189117,9,STATE EMPL CU,2010
0000032489,3,HOMESTREET BK,2010
0000852218,9,JPMORGAN CHASE BK NA,2010
0000940311,9,BANCO POPULAR DE PR,2010
0000018039,4,COUNTRYWIDE BANK  FSB,2010
47-0912342,7,PARAMOUNT EQUITY MORTGAGE INC.,2010
0471809999,7,GUILD MORTGAGE COMPANY,2010
0000032296,3,UNION SVG BK,2010
26-4599244,7,LOANDEPOT.COM,2011
7810600004,7,PROVIDENT FUNDING ASSOCIATES,2011
7505400005,7,STEARNS LENDING  INC.,2011
7197000003,7,QUICKEN LOANS  INC.,2011
0000019222,3,FREMONT BK,2011
7056000000,7,SIERRA PACIFIC MORTGAGE,2011
0000852320,9,BRANCH BKG&TC,2011
0000013044,1,BANK OF AMERICA  N.A.,2011
36-4327855,7,GUARANTEED RATE INC.,2011
0000012311,9,HUNTINGTON NB,2011
75-2921540,7,NATIONSTAR MORTGAGE LLC,2011
0002888798,2,PRIMELENDING A PLAINSCAPITAL C,2011
0001189117,9,STATE EMPL CU,2011
0000032489,3,HOMESTREET BK,2011
0000852218,9,JPMORGAN CHASE BK NA,2011
0000940311,9,BANCO POPULAR DE PR,2011
0000018039,4,COUNTRYWIDE BANK  FSB,2011
47-0912342,7,PARAMOUNT EQUITY MORTGAGE INC.,2011
0471809999,7,GUILD MORTGAGE COMPANY,2011
0000032296,3,UNION SVG BK,2011
