Activity Year,Respondent ID,Agency Code,Parent Respondent ID,Parent Name (Panel),Parent City (Panel),Parent State (Panel),Region,Assets,Other Lender Code,Respondent Name (Panel),Respondent City (Panel),Respondent State (Panel),Top Holder RSSD ID,Top Holder Name,Top Holder City,Top Holder State,Top Holder Country,Respondent RSSD ID,Parent RSSD ID,Respondent FIPS State Number
2011,00-3324993,1,0000013295,STERLING NATIONAL BK          ,NEW YORK                 ,NY,01,0000964388,1,STERLING NATL MTGE CO.  INC                                           ,GREAT NECK               ,NY                    ,0000000000,                              ,                         ,  ,                                        ,0002641649,0000064619,36
2011,0000000047,1,          ,                              ,                         ,  ,03,0002363730,0,FIRST FNCL BK NA                                                      ,TERRE HAUTE              ,IN                    ,0001208595,FIRST FC                      ,TERRE HAUTE              ,IN,UNITED STATES                           ,0000693345,0000000000,18
2011,0000000056,1,          ,                              ,                         ,  ,03,0006237352,0,FIRST FNCL BK NA                                                      ,HAMILTON                 ,OH                    ,0001071276,FIRST FNCL BC                 ,CINCINNATI               ,OH,UNITED STATES                           ,0000165628,0000000000,39
2011,0000000086,1,          ,                              ,                         ,  ,03,0000060341,0,FIRST NB                                                              ,GERMANTOWN               ,OH                    ,0000000000,                              ,                         ,  ,                                        ,0000505916,0000000000,39
2011,0000000182,1,          ,                              ,                         ,  ,04,0000101149,0,EXCHANGE NATIONAL BANK & TRUST                                        ,ATCHISON                 ,KS                    ,0001054000,EXCHANGE BSHRS CORP OF KS     ,ATCHISON                 ,KS,UNITED STATES                           ,0000144052,0000000000,20
2011,0000000249,1,          ,                              ,                         ,  ,01,0008759397,0,FIRST NB OF PA                                                        ,GREENVILLE               ,PA                    ,0003005332,FNB CORP                      ,HERMITAGE                ,PA,UNITED STATES                           ,0000379920,0000000000,42
2011,0000000324,1,          ,                              ,                         ,  ,01,0000730382,0,FIRST NATIONAL BANK AND TRUST                                         ,NEWTOWN                  ,PA                    ,0001117491,FNB BC                        ,NEWTOWN                  ,PA,UNITED STATES                           ,0001007417,0000000000,42
2011,0000000325,1,          ,                              ,                         ,  ,01,0000388866,0,FNB BK NA                                                             ,DANVILLE                 ,PA                    ,0001117129,FULTON FNCL CORP              ,LANCASTER                ,PA,UNITED STATES                           ,0000131418,0000000000,42
2011,0000000347,1,          ,                              ,                         ,  ,03,0000056794,0,FIRST NB LACON                                                        ,LACON                    ,IL                    ,0001208988,FIRST LACON CORP              ,LACON                    ,IL,UNITED STATES                           ,0000824738,0000000000,17
2011,0000000497,1,          ,                              ,                         ,  ,01,0000209090,0,FIRST NB                                                              ,SUFFIELD                 ,CT                    ,0003431007,FIRST SUFFIELD FNCL           ,SUFFIELD                 ,CT,UNITED STATES                           ,0000115100,0000000000,09
2011,0000000644,1,          ,                              ,                         ,  ,01,0000521374,0,HONESDALE NB                                                          ,HONESDALE                ,PA                    ,0001144107,HONAT BC                      ,HONESDALE                ,PA,UNITED STATES                           ,0000465618,0000000000,42
2011,0000000661,1,          ,                              ,                         ,  ,01,0000602659,0,DNB FIRST NA                                                          ,DOWNINGTOWN              ,PA                    ,0001117455,DNB FNCL CORP                 ,DOWNINGTOWN              ,PA,UNITED STATES                           ,0000071318,0000000000,42
2011,0000000676,1,          ,                              ,                         ,  ,01,0000248617,0,NATL GRAND BK OF MARBLEHEAD                                           ,MARBLEHEAD               ,MA                    ,0001115406,GRAND BK CORP                 ,MARBLEHEAD               ,MA,UNITED STATES                           ,0000863607,0000000000,25
2011,0000000866,1,          ,                              ,                         ,  ,01,0000276105,0,MILFORD NB&TC                                                         ,MILFORD                  ,MA                    ,0002651581,MNB BC                        ,MILFORD                  ,MA,UNITED STATES                           ,0000879000,0000000000,25
2011,0000000929,1,          ,                              ,                         ,  ,01,0000248057,0,NATIONAL UNION BK                                                     ,KINDERHOOK               ,NY                    ,0002589732,KINDERHOOK BK CORP            ,KINDERHOOK               ,NY,UNITED STATES                           ,0000313401,0000000000,36
2011,0000000976,1,          ,                              ,                         ,  ,01,0000164609,0,PUTNAM COUNTY NB OF CARMEL                                            ,CARMEL                   ,NY                    ,0000000000,                              ,                         ,  ,                                        ,0000287007,0000000000,36
2011,0000001027,1,          ,                              ,                         ,  ,01,0000513234,0,LYONS NB                                                              ,LYONS                    ,NY                    ,0001246476,LYONS BC                      ,LYONS                    ,NY,UNITED STATES                           ,0000323204,0000000000,36
2011,0000001083,1,          ,                              ,                         ,  ,01,0000127731,0,FIRST NB OF GROTON                                                    ,GROTON                   ,NY                    ,0000000000,                              ,                         ,  ,                                        ,0000917500,0000000000,36
2011,0000001090,1,          ,                              ,                         ,  ,01,0001449065,0,ALLIANCE BK NA                                                        ,SYRACUSE                 ,NY                    ,0001140510,ALLIANCE FC                   ,SYRACUSE                 ,NY,UNITED STATES                           ,0000814216,0000000000,36
2011,0000001154,1,          ,                              ,                         ,  ,03,0000285698,0,FIRST NB OF OTTAWA                                                    ,OTTAWA                   ,IL                    ,0002791816,FIRST OTTAWA BSHRS            ,OTTAWA                   ,IL,UNITED STATES                           ,0000856243,0000000000,17
2011,0000001194,1,          ,                              ,                         ,  ,01,0000166351,0,ROCKPORT NB                                                           ,ROCKPORT                 ,MA                    ,0002802909,ROCKPORT NAT BC               ,ROCKPORT                 ,MA,UNITED STATES                           ,0000555005,0000000000,25
2011,0000001195,1,          ,                              ,                         ,  ,01,0000273219,0,NATIONAL BK OF MIDDLEBURY                                             ,MIDDLEBURY               ,VT                    ,0001136214,MIDDLEBURY NAT CORP           ,MIDDLEBURY               ,VT,UNITED STATES                           ,0000173306,0000000000,50
2011,0000001253,1,          ,                              ,                         ,  ,01,0000385348,0,BALLSTON SPA NB                                                       ,BALLSTON SPA             ,NY                    ,0001048728,BALLSTON SPA BC               ,BALLSTON SPA             ,NY,UNITED STATES                           ,0000000505,0000000000,36
2011,0000001354,1,          ,                              ,                         ,  ,01,0005302543,0,NBT BK NA                                                             ,FRIENDSVILLE             ,PA                    ,0001139279,NBT BC                        ,NORWICH                  ,NY,UNITED STATES                           ,0000702117,0000000000,42
2011,0000001368,1,          ,                              ,                         ,  ,01,0000545104,0,COMMUNITY NB                                                          ,DERBY                    ,VT                    ,0001115040,COMMUNITY BC                  ,DERBY                    ,VT,UNITED STATES                           ,0000270504,0000000000,50
2011,0000001398,1,          ,                              ,                         ,  ,01,0000193512,0,NATIONAL BK OF COXSACKIE                                              ,COXSACKIE                ,NY                    ,0000000000,                              ,                         ,  ,                                        ,0000234506,0000000000,36
2011,0000001467,1,          ,                              ,                         ,  ,04,0001488307,0,LANDMARK BK NA                                                        ,COLUMBIA                 ,MO                    ,0001054514,LANDRUM CO                    ,COLUMBIA                 ,MO,UNITED STATES                           ,0000103255,0000000000,29
2011,0000001493,1,          ,                              ,                         ,  ,03,0000655223,0,FIRST SOUTHERN NB                                                     ,LANCASTER                ,KY                    ,0001247987,FIRST SOUTHERN BC             ,STANFORD                 ,KY,UNITED STATES                           ,0000702612,0000000000,21
2011,0000001750,1,          ,                              ,                         ,  ,04,0000707367,0,FIRST NB OF SANTA FE                                                  ,SANTA FE                 ,NM                    ,0001023154,NEW MEXICO BANQUEST CORP      ,SANTA FE                 ,NM,UNITED STATES                           ,0000787253,0000000000,35
2011,0000001770,1,          ,                              ,                         ,  ,04,0001233182,0,BOONE CTY NB OF COLUMBIA                                              ,COLUMBIA                 ,MO                    ,0001094314,CENTRAL BANCOMPANY            ,JEFFERSON CITY           ,MO,UNITED STATES                           ,0000299046,0000000000,29
2011,0000001794,1,          ,                              ,                         ,  ,03,0000186057,0,FIRST NB MN                                                           ,SAINT PETER              ,MN                    ,0001128460,BANCOMMUNITY SVC CORP         ,SAINT PETER              ,MN,UNITED STATES                           ,0000197759,0000000000,27
2011,0000001950,1,          ,                              ,                         ,  ,02,0001087148,0,FIRST NB OF FORT SMITH                                                ,FORT SMITH               ,AR                    ,0001491360,FIRST BK CORP                 ,FORT SMITH               ,AR,UNITED STATES                           ,0000397540,0000000000,05
2011,0000001997,1,          ,                              ,                         ,  ,03,0000689900,0,NATIONAL B&TC                                                         ,WILMINGTON               ,OH                    ,0001070756,NB&T FNCL GROUP               ,WILMINGTON               ,OH,UNITED STATES                           ,0000328423,0000000000,39
2011,0000002036,1,          ,                              ,                         ,  ,03,0000700538,0,VINTON COUNTY NATIONAL BANK                                           ,MC ARTHUR                ,OH                    ,0001070765,COMMUNITY BSHRS               ,MCARTHUR                 ,OH,UNITED STATES                           ,0000754826,0000000000,39
2011,0000002068,1,          ,                              ,                         ,  ,04,0000787708,0,FIRST DAKOTA NB                                                       ,YANKTON                  ,SD                    ,0001404687,FIRST DAKOTA FC               ,YANKTON                  ,SD,UNITED STATES                           ,0000441256,0000000000,46
2011,0000002137,1,          ,                              ,                         ,  ,01,0008810607,0,NATIONAL PENN BK                                                      ,BOYERTOWN                ,PA                    ,0001117026,NATIONAL PENN BSHRS           ,BOYERTOWN                ,PA,UNITED STATES                           ,0000802110,0000000000,42
2011,0000002234,1,          ,                              ,                         ,  ,03,0004147658,0,FIRST MRCH BK NA                                                      ,MUNCIE                   ,IN                    ,0001208559,FIRST MRCH CORP               ,MUNCIE                   ,IN,UNITED STATES                           ,0000017147,0000000000,18
2011,0000002242,1,          ,                              ,                         ,  ,03,0000172099,0,HAVANA NB                                                             ,HAVANA                   ,IL                    ,0002909853,COMMUNITY INV GRP             ,HAVANA                   ,IL,UNITED STATES                           ,0000940731,0000000000,17
2011,0000002302,1,          ,                              ,                         ,  ,03,0000121834,0,FIRST NB                                                              ,BELLEVUE                 ,OH                    ,0001071258,FIRST BSHRS                   ,BELLEVUE                 ,OH,UNITED STATES                           ,0000243414,0000000000,39
2011,0000002311,1,          ,                              ,                         ,  ,01,0002281201,0,CAMDEN NB                                                             ,CAMDEN                   ,ME                    ,0001130249,CAMDEN NAT CORP               ,CAMDEN                   ,ME,UNITED STATES                           ,0000593007,0000000000,23
2011,0000002360,1,          ,                              ,                         ,  ,03,0000758417,0,LCNB NB                                                               ,LEBANON                  ,OH                    ,0002759900,LCNB CORP                     ,LEBANON                  ,OH,UNITED STATES                           ,0000785923,0000000000,39
2011,0000002413,1,          ,                              ,                         ,  ,03,0001094913,0,CITIZENS FIRST NB                                                     ,PRINCETON                ,IL                    ,0001207600,PRINCETON NAT BC              ,PRINCETON                ,IL,UNITED STATES                           ,0000669443,0000000000,17
2011,0000002449,1,          ,                              ,                         ,  ,03,0000568841,0,MERCHANTS NB                                                          ,HILLSBORO                ,OH                    ,0002485487,MERCHANTS BC                  ,HILLSBORO                ,OH,UNITED STATES                           ,0000701222,0000000000,39
2011,0000002477,1,          ,                              ,                         ,  ,02,0000193033,0,FIRST NB OF WEATHERFORD                                               ,WEATHERFORD              ,TX                    ,0001105751,FIRST BAIRD BSHRS             ,BEDFORD                  ,TX,UNITED STATES                           ,0000614368,0000000000,48
2011,0000002503,1,          ,                              ,                         ,  ,03,0000166346,0,HOMETOWN NB                                                           ,LA SALLE                 ,IL                    ,0001209323,LASALLE BC                    ,LA SALLE                 ,IL,UNITED STATES                           ,0000770639,0000000000,17
2011,0000002515,1,          ,                              ,                         ,  ,01,0000747690,0,EPHRATA NB                                                            ,EPHRATA                  ,PA                    ,0001116681,HIBSHMAN TR FOR EPHRATA NB STK,EPHRATA                  ,PA,UNITED STATES                           ,0000425911,0000000000,42
2011,0000002560,1,          ,                              ,                         ,  ,03,0000116821,0,FARMERS NB OF CYNTHIANA                                               ,CYNTHIANA                ,KY                    ,0001071511,FARMERS NAT BC                ,CYNTHIANA                ,KY,UNITED STATES                           ,0000854418,0000000000,21
2011,0000002725,1,          ,                              ,                         ,  ,03,0000861010,0,FIRST NAT B&TC                                                        ,BELOIT                   ,WI                    ,0001209042,CENTRE 1 BC                   ,BELOIT                   ,WI,UNITED STATES                           ,0000207845,0000000000,55
2011,0000002747,1,          ,                              ,                         ,  ,03,0001397696,0,HORIZON BK NA                                                         ,MICHIGAN CITY            ,IN                    ,0001209136,HORIZON BC                    ,MICHIGAN CITY            ,IN,UNITED STATES                           ,0000130541,0000000000,18
2011,0000002780,1,          ,                              ,                         ,  ,04,0000178800,0,FIRST NB OF WAHOO                                                     ,WAHOO                    ,NE                    ,0001020854,BANK MGMT                     ,WAHOO                    ,NE,UNITED STATES                           ,0000540056,0000000000,31
2011,0000002782,1,          ,                              ,                         ,  ,04,0003705025,0,INTRUST BK NA                                                         ,WICHITA                  ,KS                    ,0001064278,INTRUST FC                    ,WICHITA                  ,KS,UNITED STATES                           ,0000557858,0000000000,20
2011,0000003060,1,          ,                              ,                         ,  ,04,0000216768,0,JONES NB&TC OF SEWARD                                                 ,SEWARD                   ,NE                    ,0001061156,JONES NAT CORP                ,SEWARD                   ,NE,UNITED STATES                           ,0000469559,0000000000,31
2011,0000003091,1,          ,                              ,                         ,  ,04,0000083565,0,FIRST NB OF WELLINGTON                                                ,WELLINGTON               ,KS                    ,0001067514,FIRST FC                      ,WELLINGTON               ,KS,UNITED STATES                           ,0000369453,0000000000,20
2011,0000003105,1,          ,                              ,                         ,  ,04,0000271984,0,FIRST NB                                                              ,WAVERLY                  ,IA                    ,0001206395,FIRST WAVERLY CORP            ,WAVERLY                  ,IA,UNITED STATES                           ,0000376442,0000000000,19
2011,0000003124,1,          ,                              ,                         ,  ,04,0000697682,0,SECURITY NB SIOUX CITY                                                ,SIOUX CITY               ,IA                    ,0001200348,SECURITY NAT CORP             ,DAKOTA DUNES             ,SD,UNITED STATES                           ,0000418249,0000000000,19
2011,0000003147,1,          ,                              ,                         ,  ,01,0000132051,0,NATIONAL BK OF MALVERN                                                ,MALVERN                  ,PA                    ,0002409755,MALVERN BK CORP               ,MALVERN                  ,PA,UNITED STATES                           ,0000977616,0000000000,42
2011,0000003175,1,          ,                              ,                         ,  ,04,0000277733,0,CITIZENS BK NA                                                        ,FORT SCOTT               ,KS                    ,0001417360,FIRST CAP CORP                ,FORT SCOTT               ,KS,UNITED STATES                           ,0000842358,0000000000,20
2011,0000003218,1,          ,                              ,                         ,  ,04,0000242410,0,CORNERBANK NA                                                         ,WINFIELD                 ,KS                    ,0001064269,CORNERSTONE ALLIANCE          ,WINFIELD                 ,KS,UNITED STATES                           ,0000091156,0000000000,20
2011,0000003286,1,          ,                              ,                         ,  ,02,0000199255,0,FIRST NB                                                              ,BAIRD                    ,TX                    ,0001105751,FIRST BAIRD BSHRS             ,BEDFORD                  ,TX,UNITED STATES                           ,0000075558,0000000000,48
2011,0000003393,1,          ,                              ,                         ,  ,04,0001093291,0,FIRST NB IN SIOUX FALLS                                               ,SIOUX FALLS              ,SD                    ,0001126354,MINNEHAHA BSHRS               ,SIOUX FALLS              ,SD,UNITED STATES                           ,0000326858,0000000000,46
2011,0000003434,1,          ,                              ,                         ,  ,04,0000155626,0,FIRST NB OF WAMEGO                                                    ,WAMEGO                   ,KS                    ,0001060524,WAMEGO BSHRS                  ,WAMEGO                   ,KS,UNITED STATES                           ,0000552059,0000000000,20
2011,0000003509,1,          ,                              ,                         ,  ,04,0000216166,0,CITIZENS BK OF KS NA                                                  ,KINGMAN                  ,KS                    ,0001061987,KING BSHRS                    ,KINGMAN                  ,KS,UNITED STATES                           ,0001014853,0000000000,20
2011,0000003533,1,          ,                              ,                         ,  ,02,0000122205,0,FIRST NB OF BALLINGER                                                 ,BALLINGER                ,TX                    ,0001106990,TEXAS COUNTRY BSHRS           ,BRADY                    ,TX,UNITED STATES                           ,0000160454,0000000000,48
2011,0000003543,1,          ,                              ,                         ,  ,04,0000103313,0,FIRST NB&TC OF JUNCTION CITY                                          ,JUNCTION CITY            ,KS                    ,0001061893,EXCHANGE CO                   ,KEARNEY                  ,NE,UNITED STATES                           ,0000240356,0000000000,20
2011,0000003654,1,          ,                              ,                         ,  ,03,0000971369,0,FARMERS NB                                                            ,CANFIELD                 ,OH                    ,0001071191,FARMERS NAT BC                ,CANFIELD                 ,OH,UNITED STATES                           ,0000680813,0000000000,39
2011,0000003656,1,          ,                              ,                         ,  ,02,0001581160,0,CADENCE BK NA                                                         ,STARKVILLE               ,MS                    ,0001100037,CADENCE FNCL CORP             ,STARKVILLE               ,MS,UNITED STATES                           ,0000115641,0000000000,28
2011,0000003711,1,          ,                              ,                         ,  ,03,0000057586,0,ATLANTA NB                                                            ,ATLANTA                  ,IL                    ,0002971270,ANB BC                        ,ATLANTA                  ,IL,UNITED STATES                           ,0000672238,0000000000,17
2011,0000003724,1,          ,                              ,                         ,  ,03,0000306850,0,FIRST NB FOX VALLEY                                                   ,NEENAH                   ,WI                    ,0001208876,FIRST MENASHA BSHRS           ,NEENAH                   ,WI,UNITED STATES                           ,0000675949,0000000000,55
2011,0000003817,1,          ,                              ,                         ,  ,01,0001641126,0,CANANDAIGUA NB&TC                                                     ,CANANDAIGUA              ,NY                    ,0001133503,CANANDAIGUA NAT CORP          ,CANANDAIGUA              ,NY,UNITED STATES                           ,0000161602,0000000000,36
2011,0000003956,1,          ,                              ,                         ,  ,04,0000466011,0,BAKER BOYER NB                                                        ,WALLA WALLA              ,WA                    ,0001141870,BAKER BOYER BC                ,WALLA WALLA              ,WA,UNITED STATES                           ,0000069678,0000000000,53
2011,0000004013,1,          ,                              ,                         ,  ,01,0000054562,0,THE LENOX NATIONAL BANK                                               ,LENOX                    ,MA                    ,0000000000,                              ,                         ,  ,                                        ,0000791205,0000000000,25
2011,0000004039,1,          ,                              ,                         ,  ,01,0000373060,0,FIRST NB OF MIFFLINTOWN                                               ,MIFFLINTOWN              ,PA                    ,0001132896,FIRST CMNTY FNCL CORP         ,MIFFLINTOWN              ,PA,UNITED STATES                           ,0000212018,0000000000,42
2011,0000004076,1,          ,                              ,                         ,  ,02,0000110922,0,FIRST NB                                                              ,MCGREGOR                 ,TX                    ,0000000000,                              ,                         ,  ,                                        ,0000895055,0000000000,48
2011,0000004093,1,          ,                              ,                         ,  ,02,0000339379,0,FIRST NB                                                              ,BASTROP                  ,TX                    ,0002410304,BASTROP BSHRS                 ,BASTROP                  ,TX,UNITED STATES                           ,0000018050,0000000000,48
2011,0000004097,1,          ,                              ,                         ,  ,02,0000462518,0,NATIONAL BK                                                           ,GATESVILLE               ,TX                    ,0003059773,NATIONAL UNITED BSHRS         ,GATESVILLE               ,TX,UNITED STATES                           ,0000322056,0000000000,48
2011,0000004107,1,          ,                              ,                         ,  ,01,0000334438,0,NATIONAL CAPITAL BK OF WA                                             ,WASHINGTON               ,DC                    ,0000000000,                              ,                         ,  ,                                        ,0000791821,0000000000,11
2011,0000004137,1,          ,                              ,                         ,  ,03,0000281550,0,STEPHENSON NB&TC                                                      ,MARINETTE                ,WI                    ,0001245509,STEPHENSON NAT BC             ,MARINETTE                ,WI,UNITED STATES                           ,0000598048,0000000000,55
2011,0000004166,1,          ,                              ,                         ,  ,02,0001267424,0,FIRST FNCL BK NA                                                      ,ABILENE                  ,TX                    ,0001102312,FIRST FNCL BSHRS              ,ABILENE                  ,TX,UNITED STATES                           ,0000470050,0000000000,48
2011,0000004208,1,          ,                              ,                         ,  ,02,0000389972,0,FIRST NB                                                              ,HUNTSVILLE               ,TX                    ,0003018958,FIRST NAT BSHRS               ,HUNTSVILLE               ,TX,UNITED STATES                           ,0000583352,0000000000,48
2011,0000004230,1,          ,                              ,                         ,  ,01,0001617861,0,SUFFOLK CTY NB                                                        ,RIVERHEAD                ,NY                    ,0001130865,SUFFOLK BC                    ,RIVERHEAD                ,NY,UNITED STATES                           ,0000799612,0000000000,36
2011,0000004238,1,          ,                              ,                         ,  ,02,0000240762,0,FIRST NB                                                              ,BEEVILLE                 ,TX                    ,0001130771,FIRST BEEVILLE FC             ,BEEVILLE                 ,TX,UNITED STATES                           ,0000028255,0000000000,48
2011,0000004241,1,          ,                              ,                         ,  ,02,0000346151,0,FIRST NB                                                              ,BELLVILLE                ,TX                    ,0002112439,INDUSTRY BSHRS                ,INDUSTRY                 ,TX,UNITED STATES                           ,0000091754,0000000000,48
2011,0000004246,1,          ,                              ,                         ,  ,02,0000250638,0,COMANCHE NB                                                           ,COMANCHE                 ,TX                    ,0002973238,COMANCHE NAT CORP             ,COMANCHE                 ,TX,UNITED STATES                           ,0000949556,0000000000,48
2011,0000004265,1,          ,                              ,                         ,  ,02,0000547351,0,LEGEND BK NA                                                          ,BOWIE                    ,TX                    ,0001416578,LEGEND BC                     ,BOWIE                    ,TX,UNITED STATES                           ,0000100357,0000000000,48
2011,0000004284,1,          ,                              ,                         ,  ,04,0000837325,0,CENTRAL NB                                                            ,JUNCTION CITY            ,KS                    ,0001064429,CENTRAL OF KS                 ,JUNCTION CITY            ,KS,UNITED STATES                           ,0000234355,0000000000,20
2011,0000004418,1,          ,                              ,                         ,  ,02,0000225292,0,FIRST NATIONAL BANK IN GRAHAM                                         ,GRAHAM                   ,TX                    ,0001107700,FIRST GRAHAM BC               ,GRAHAM                   ,TX,UNITED STATES                           ,0000327855,0000000000,48
2011,0000004483,1,          ,                              ,                         ,  ,02,0000475843,0,FIRST NB                                                              ,JACKSBORO                ,TX                    ,0003472411,HIGHLANDS BSHRS               ,DALLAS                   ,TX,UNITED STATES                           ,0000597751,0000000000,48
2011,0000004596,1,          ,                              ,                         ,  ,03,0002125772,0,OLD SECOND NB                                                         ,AURORA                   ,IL                    ,0001206911,OLD SECOND BC                 ,AURORA                   ,IL,UNITED STATES                           ,0000936136,0000000000,17
2011,0000004620,1,          ,                              ,                         ,  ,03,0000250373,0,FIRST NB OF BERLIN                                                    ,BERLIN                   ,WI                    ,0001889538,FIRST BERLIN BC               ,BERLIN                   ,WI,UNITED STATES                           ,0000111942,0000000000,55
2011,0000004639,1,          ,                              ,                         ,  ,03,0000322633,0,WOODTRUST BK NA                                                       ,WISCONSIN RAPIDS         ,WI                    ,0001020582,WOODTRUST FC                  ,WISCONSIN RAPIDS         ,WI,UNITED STATES                           ,0000833749,0000000000,55
2011,0000004701,1,          ,                              ,                         ,  ,02,0000114712,0,TEXAS HERITAGE NB                                                     ,DAINGERFIELD             ,TX                    ,0003220836,DAINGERFIELD HC               ,DAINGERFIELD             ,TX,UNITED STATES                           ,0000824653,0000000000,48
2011,0000004742,1,          ,                              ,                         ,  ,04,0001694138,0,SUNFLOWER BK NA                                                       ,SALINA                   ,KS                    ,0001066713,SUNFLOWER FNCL                ,SALINA                   ,KS,UNITED STATES                           ,0000474759,0000000000,20
2011,0000004774,1,          ,                              ,                         ,  ,01,0000268317,0,FIRST NB OF IPSWICH                                                   ,IPSWICH                  ,MA                    ,0001247204,FIRST IPSWICH BC              ,IPSWICH                  ,MA,UNITED STATES                           ,0000442806,0000000000,25
