148,64204
463,2520
496,3538
471,2395
4900,62
1645,86
1238,259
833,331
1088,349
1580,101
4935,5
1591,17
18944,2
15447,2
1342,38
1959,21
9900,13
2366,5
69454,1
78400,1
5300,31
64628,1
10206,2
2142,8
29993,1
3175,11
15727,1
6620,1
21700,3
31528,1
58061,2
22521,1
88599,1
1829,8
5518,3
3997,1
46465,1
14832,3
2866,1
33717,2
16503,1
99239,1
13840,1
7240,1
24347,1
95994,1
11748,1
89863,1
33868,1
18979,1
20735,1
2659,3
82582,1
11141,1
31261,1
3918,1
33722,1
32445,1
63645,1
3749,1
13832,2
14450,2
16574,1
35982,1
28024,1
7880,1
91446,1
46943,1
4519,1
7340,1
2122,2
27760,1
18800,1
34759,1
20135,1
64121,1
243,27369
623,2044
1395,93
392,16122
540,7449
858,327
737,385
1025,246
1084,134
2580,22
1127,76
1483,32
1896,13
1460,208
897,225
1721,21
2235,16
11710,2
1507,19
1990,58
1522,14
19325,2
2999,5
3698,3
16500,17
37832,1
15004,2
15100,5
85000,4
3475,10
11500,24
19200,1
4929,1
2811,3
8105,1
12006,1
2563,5
48780,1
29950,2
14514,1
79758,1
10914,1
2387,3
62090,1
40687,1
5614,1
23607,2
40199,1
13261,1
4161,2
53576,1
61390,1
19886,1
33762,1
26200,2
37015,1
95151,1
14075,2
53630,1
6773,1
29595,1
96441,1
36583,1
71565,1
29827,1
12367,1
3226,4
37297,1
36312,1
23727,1
97749,1
22412,1
12715,1
22555,1
43588,1
85119,1
87759,1
15003,1
1270,143
1650,491
516,2550
31,16233
3000,1302
1143,76
6825,10
1699,14
1339,51
1618,23
1352,57
1139,49
1322,35
15173,1
11393,1
1303,27
70216,1
28316,1
5984,2
3488,8
86256,1
13875,2
11800,8
1903,6
7850,4
4489,2
17008,1
42102,1
48880,1
94274,1
14420,3
27471,1
36468,1
2776,3
2572,4
45731,1
37006,1
2393,5
3761,3
58850,1
2996,5
3704,1
7879,1
11025,2
20467,1
48942,1
5071,1
24747,1
17028,1
42613,1
13207,1
57955,1
87339,2
30525,1
5345,1
24504,2
17044,1
41696,1
20029,2
18221,1
31285,1
38621,1
20052,1
2711,1
26646,1
37657,1
22684,1
22951,1
137,66783
85,74491
251,23259
451,1909
580,5062
808,486
1265,127
1975,63
2025,60
7066,1
14315,1
2259,7
2488,6
2443,7
30802,2
32832,3
8650,5
19138,1
2923,1
75589,1
3220,21
40132,1
2525,16
2721,6
1884,16
4239,1
18539,1
7120,3
2231,7
3490,7
2748,6
21545,1
39827,1
5482,1
34495,1
44691,1
35142,1
5223,1
31290,1
36559,1
40256,1
12366,1
3876,3
24200,3
84288,1
20170,1
3098,2
19729,2
7910,2
