Application withdrawn by applicant,3994,2
File closed for incompleteness,567,7
Loan purchased by the institution,3466,1
File closed for incompleteness,0260,3184
Application withdrawn by applicant,113,3766
Application denied by financial institution,4659,4
Loan originated,4600,1
Loan originated,282,1731
Preapproval request approved but not accepted,491,3
Application approved but not accepted,2483,3
Application withdrawn by applicant,0071,90190
Application approved but not accepted,2380,6
Application denied by financial institution,2672,1
Loan purchased by the institution,0758,120
Application denied by financial institution,0715,263
Loan purchased by the institution,1509,13
Application approved but not accepted,3234,3
Preapproval request denied by financial institution,2728,1
Loan purchased by the institution,8861,2
Application withdrawn by applicant,319,133
Application denied by financial institution,270,661
File closed for incompleteness,4295,1
Loan originated,4075,12
Application denied by financial institution,3423,1
Loan originated,2118,34
Application approved but not accepted,739,4
File closed for incompleteness,527,8
Application approved but not accepted,2358,1
Application denied by financial institution,3526,2
Loan originated,106,27336
Application denied by financial institution,5689,2
Application withdrawn by applicant,598,21
Application approved but not accepted,2307,3
Application denied by financial institution,0891,111
Loan originated,385,762
File closed for incompleteness,0569,91
Loan originated,2922,1
Loan originated,5939,1
Loan originated,336,1338
Preapproval request approved but not accepted,418,3
Loan originated,2294,40
Loan originated,4908,4
Preapproval request denied by financial institution,2625,1
Application withdrawn by applicant,2328,2
Application denied by financial institution,0994,88
Application approved but not accepted,5191,1
Application denied by financial institution,1745,19
Application withdrawn by applicant,2861,3
File closed for incompleteness,7642,1
Loan originated,2398,5
Loan purchased by the institution,621,19
Loan purchased by the institution,8964,1
File closed for incompleteness,2144,1
Application withdrawn by applicant,1831,11
Preapproval request denied by financial institution,397,1
Loan originated,4178,9
Application denied by financial institution,0088,132671
Application withdrawn by applicant,0277,2684
Loan originated,2119,3
Application approved but not accepted,2586,1
File closed for incompleteness,2247,2
Application withdrawn by applicant,392,89
Application denied by financial institution,1132,2
File closed for incompleteness,6600,1
Loan purchased by the institution,307,94
Loan originated,233,4008
Application denied by financial institution,2570,8
Application approved but not accepted,8223,1
Loan originated,7411,5
Loan purchased by the institution,4497,2
Loan purchased by the institution,2090,1
Loan originated,5630,3
File closed for incompleteness,1291,6
Loan originated,2744,2
Application withdrawn by applicant,1399,2
Preapproval request denied by financial institution,0742,1
File closed for incompleteness,389,32
Application withdrawn by applicant,125,8586
Loan originated,6763,1
File closed for incompleteness,1027,2
Loan originated,3046,16
Application withdrawn by applicant,1029,57
Application denied by financial institution,1057,6
