Activity Year,Respondent ID,Agency Code,Parent Respondent ID,Parent Name (Panel),Parent City (Panel),Parent State (Panel),Region,Assets,Other Lender Code,Respondent Name (Panel),Respondent City (Panel),Respondent State (Panel),Top Holder RSSD ID,Top Holder Name,Top Holder City,Top Holder State,Top Holder Country,Respondent RSSD ID,Parent RSSD ID,Respondent FIPS State Number
2012,99-0332905,9,0000451965,WELLS FARGO BK NA             ,SIOUX FALLS              ,SD,00,0608782456,1,WELLS FARGO HOME MTG HAWAII                                           ,HONOLULU                 ,HI                    ,0001120754,WELLS FARGO & CO              ,SAN FRANCISCO            ,CA,UNITED STATES                           ,00026879370,000451965,15
2012,0000000047,1,          ,                              ,                         ,  ,03,0002854392,0,FIRST FNCL BK NA                                                      ,TERRE HAUTE              ,IN                    ,0001208595,FIRST FC                      ,TERRE HAUTE              ,IN,UNITED STATES                           ,00006933450,000000000,18
2012,0000000056,1,          ,                              ,                         ,  ,03,0006663427,0,FIRST FNCL BK NA                                                      ,HAMILTON                 ,OH                    ,0001071276,FIRST FNCL BC                 ,CINCINNATI               ,OH,UNITED STATES                           ,00001656280,000000000,39
2012,0000000086,1,          ,                              ,                         ,  ,03,0000052094,0,FIRST NB                                                              ,GERMANTOWN               ,OH                    ,0000000000,                              ,                         ,  ,                                        ,00005059160,000000000,39
2012,0000000182,1,          ,                              ,                         ,  ,04,0000330487,0,EXCHANGE NB&TC CO                                                     ,ATCHISON                 ,KS                    ,0001054000,EXCHANGE BSHRS CORP OF KS     ,ATCHISON                 ,KS,UNITED STATES                           ,00001440520,000000000,20
2012,0000000324,1,          ,                              ,                         ,  ,01,0000785017,0,FIRST NB&TC NEWTOWN                                                   ,NEWTOWN                  ,PA                    ,0001117491,FNB BC                        ,NEWTOWN                  ,PA,UNITED STATES                           ,00010074170,000000000,42
2012,0000000325,1,          ,                              ,                         ,  ,01,0000387250,0,FNB BK NA                                                             ,DANVILLE                 ,PA                    ,0001117129,FULTON FNCL CORP              ,LANCASTER                ,PA,UNITED STATES                           ,00001314180,000000000,42
2012,0000000347,1,          ,                              ,                         ,  ,03,0000061549,0,FIRST NB LACON                                                        ,LACON                    ,IL                    ,0001208988,FIRST LACON CORP              ,LACON                    ,IL,UNITED STATES                           ,00008247380,000000000,17
2012,0000000497,1,          ,                              ,                         ,  ,01,0000214349,0,FIRST NB                                                              ,SUFFIELD                 ,CT                    ,0003431007,FIRST SUFFIELD FNCL           ,SUFFIELD                 ,CT,UNITED STATES                           ,00001151000,000000000,09
2012,0000000644,1,          ,                              ,                         ,  ,01,0000560670,0,HONESDALE NB                                                          ,HONESDALE                ,PA                    ,0001144107,HONAT BC                      ,HONESDALE                ,PA,UNITED STATES                           ,00004656180,000000000,42
