Activity Year,Respondent ID,Agency Code,Parent Respondent ID,Parent Name (Panel),Parent City (Panel),Parent State (Panel),Region,Assets,Other Lender Code,Respondent Name (Panel),Respondent City (Panel),Respondent State (Panel),Top Holder RSSD ID,Top Holder Name,Top Holder City,Top Holder State,Top Holder Country,Respondent RSSD ID,Parent RSSD ID,Respondent FIPS State Number
2013,0000000661,1,          ,                              ,                         ,  ,01,0000639527,0,DNB FIRST NA                                                          ,DOWNINGTOWN              ,PA                    ,0001117455,DNB FNCL CORP                 ,DOWNINGTOWN              ,PA,UNITED STATES                           ,0000071318,0000000000,42
2013,0000000676,1,          ,                              ,                         ,  ,01,0000295927,0,NATIONAL GRAND BK OF MARBLEH                                          ,MARBLEHEAD               ,MA                    ,0001115406,GRAND BK CORP                 ,MARBLEHEAD               ,MA,UNITED STATES                           ,0000863607,0000000000,25
2013,0000000866,1,          ,                              ,                         ,  ,01,0000272992,0,MILFORD NB&TC                                                         ,MILFORD                  ,MA                    ,0002651581,MNB BC                        ,MILFORD                  ,MA,UNITED STATES                           ,0000879000,0000000000,25
2013,0000000929,1,          ,                              ,                         ,  ,01,0000313330,0,NATIONAL UNION BK                                                     ,KINDERHOOK               ,NY                    ,0002589732,KINDERHOOK BK CORP            ,KINDERHOOK               ,NY,UNITED STATES                           ,0000313401,0000000000,36
2013,0000000976,1,          ,                              ,                         ,  ,01,0000163133,0,PUTNAM COUNTY NB OF CARMEL                                            ,CARMEL                   ,NY                    ,0000000000,                              ,                         ,  ,                                        ,0000287007,0000000000,36
2013,0000001027,1,          ,                              ,                         ,  ,01,0000664859,0,LYONS NB                                                              ,LYONS                    ,NY                    ,0001246476,LYONS BC                      ,LYONS                    ,NY,UNITED STATES                           ,0000323204,0000000000,36
2013,0000001083,1,          ,                              ,                         ,  ,01,0000137424,0,FIRST NB OF GROTON                                                    ,GROTON                   ,NY                    ,0000000000,                              ,                         ,  ,                                        ,0000917500,0000000000,36
2013,0000001154,1,          ,                              ,                         ,  ,03,0000284623,0,FIRST NB OF OTTAWA                                                    ,OTTAWA                   ,IL                    ,0002791816,FIRST OTTAWA BSHRS            ,OTTAWA                   ,IL,UNITED STATES                           ,0000856243,0000000000,17
2013,0000001194,1,          ,                              ,                         ,  ,01,0000186075,0,ROCKPORT NB                                                           ,ROCKPORT                 ,MA                    ,0002802909,ROCKPORT NAT BC               ,ROCKPORT                 ,MA,UNITED STATES                           ,0000555005,0000000000,25
2013,0000001195,1,          ,                              ,                         ,  ,01,0000300823,0,NATIONAL BK OF MIDDLEBURY                                             ,MIDDLEBURY               ,VT                    ,0001136214,MIDDLEBURY NAT CORP           ,MIDDLEBURY               ,VT,UNITED STATES                           ,0000173306,0000000000,50
2013,0000001253,1,          ,                              ,                         ,  ,01,0000421160,0,BALLSTON SPA NB                                                       ,BALLSTON SPA             ,NY                    ,0001048728,BALLSTON SPA BC               ,BALLSTON SPA             ,NY,UNITED STATES                           ,0000000505,0000000000,36
2013,0000001354,1,          ,                              ,                         ,  ,01,0005986046,0,NBT BK NA                                                             ,NORWICH                  ,NY                    ,0001139279,NBT BC                        ,NORWICH                  ,NY,UNITED STATES                           ,0000702117,0000000000,36
2013,0000001368,1,          ,                              ,                         ,  ,01,0000574914,0,COMMUNITY NB                                                          ,NEWBURY                  ,VT                    ,0001115040,COMMUNITY BC                  ,DERBY                    ,VT,UNITED STATES                           ,0000270504,0000000000,50
2013,0000001398,1,          ,                              ,                         ,  ,01,0000244378,0,NATIONAL BK OF COXSACKIE                                              ,COXSACKIE                ,NY                    ,0000000000,                              ,                         ,  ,                                        ,0000234506,0000000000,36
2013,0000001467,1,          ,                              ,                         ,  ,04,0001751541,0,LANDMARK BK NA                                                        ,COLUMBIA                 ,MO                    ,0001054514,LANDRUM CO                    ,COLUMBIA                 ,MO,UNITED STATES                           ,0000103255,0000000000,29
2013,0000001493,1,          ,                              ,                         ,  ,03,0000698534,0,FIRST SOUTHERN NB                                                     ,LANCASTER                ,KY                    ,0001247987,FIRST SOUTHERN BC             ,STANFORD                 ,KY,UNITED STATES                           ,0000702612,0000000000,21
2013,0000001750,1,          ,                              ,                         ,  ,04,0000779302,0,FIRST NB OF SANTA FE                                                  ,SANTA FE                 ,NM                    ,0001023154,NEW MEXICO BANQUEST CORP      ,SANTA FE                 ,NM,UNITED STATES                           ,0000787253,0000000000,35
2013,0000001770,1,          ,                              ,                         ,  ,04,0001431785,0,BOONE CTY NB OF COLUMBIA                                              ,COLUMBIA                 ,MO                    ,0001094314,CENTRAL BANCOMPANY            ,JEFFERSON CITY           ,MO,UNITED STATES                           ,0000299046,0000000000,29
2013,0000001794,1,          ,                              ,                         ,  ,03,0000218653,0,FIRST NB MN                                                           ,SAINT PETER              ,MN                    ,0001128460,BANCOMMUNITY SVC CORP         ,SAINT PETER              ,MN,UNITED STATES                           ,0000197759,0000000000,27
2013,0000001950,1,          ,                              ,                         ,  ,02,0001064859,0,FIRST NB OF FORT SMITH                                                ,FORT SMITH               ,AR                    ,0001491360,FIRST BK CORP                 ,FORT SMITH               ,AR,UNITED STATES                           ,0000397540,0000000000,05
2013,0000001997,1,          ,                              ,                         ,  ,03,0000650852,0,NATIONAL B&TC                                                         ,WILMINGTON               ,OH                    ,0001473571,NB&T FNCL GROUP ESOP          ,WILMINGTON               ,OH,UNITED STATES                           ,0000328423,0000000000,39
2013,0000002036,1,          ,                              ,                         ,  ,03,0000734977,0,VINTON CTY NB                                                         ,MC ARTHUR                ,OH                    ,0001070765,COMMUNITY BSHRS               ,MCARTHUR                 ,OH,UNITED STATES                           ,0000754826,0000000000,39
2013,0000002068,1,          ,                              ,                         ,  ,04,0000946494,0,FIRST DAKOTA NB                                                       ,YANKTON                  ,SD                    ,0001404687,FIRST DAKOTA FC               ,YANKTON                  ,SD,UNITED STATES                           ,0000441256,0000000000,46
2013,0000002137,1,          ,                              ,                         ,  ,01,0008347902,0,NATIONAL PENN BK                                                      ,BOYERTOWN                ,PA                    ,0001117026,NATIONAL PENN BSHRS           ,BOYERTOWN                ,PA,UNITED STATES                           ,0000802110,0000000000,42
2013,0000002221,1,          ,                              ,                         ,  ,02,0000502761,0,FIRST NB OF MCMINNVILLE                                               ,MC MINNVILLE             ,TN                    ,0001086449,FIRST MCMINNVILLE CORP        ,MCMINNVILLE              ,TN,UNITED STATES                           ,0000087234,0000000000,47
2013,0000002234,1,          ,                              ,                         ,  ,03,0004285219,0,FIRST MRCH BK NA                                                      ,MUNCIE                   ,IN                    ,0001208559,FIRST MRCH CORP               ,MUNCIE                   ,IN,UNITED STATES                           ,0000017147,0000000000,18
2013,0000002242,1,          ,                              ,                         ,  ,03,0000208482,0,HAVANA NB                                                             ,HAVANA                   ,IL                    ,0002909853,COMMUNITY INV GRP             ,HAVANA                   ,IL,UNITED STATES                           ,0000940731,0000000000,17
2013,0000002302,1,          ,                              ,                         ,  ,03,0000133012,0,FIRST NB                                                              ,BELLEVUE                 ,OH                    ,0001071258,FIRST BSHRS                   ,BELLEVUE                 ,OH,UNITED STATES                           ,0000243414,0000000000,39
2013,0000002311,1,          ,                              ,                         ,  ,01,0002525375,0,CAMDEN NB                                                             ,CAMDEN                   ,ME                    ,0001130249,CAMDEN NAT CORP               ,CAMDEN                   ,ME,UNITED STATES                           ,0000593007,0000000000,23
2013,0000002360,1,          ,                              ,                         ,  ,03,0000786912,0,LCNB NB                                                               ,LEBANON                  ,OH                    ,0002759900,LCNB CORP                     ,LEBANON                  ,OH,UNITED STATES                           ,0000785923,0000000000,39
2013,0000002449,1,          ,                              ,                         ,  ,03,0000561763,0,MERCHANTS NB                                                          ,HILLSBORO                ,OH                    ,0002485487,MERCHANTS BC                  ,HILLSBORO                ,OH,UNITED STATES                           ,0000701222,0000000000,39
2013,0000002477,1,          ,                              ,                         ,  ,02,0000207895,0,FIRST NB                                                              ,WEATHERFORD              ,TX                    ,0001105751,FIRST BAIRD BSHRS             ,BEDFORD                  ,TX,UNITED STATES                           ,0000614368,0000000000,48
2013,0000002503,1,          ,                              ,                         ,  ,03,0000187393,0,HOMETOWN NB                                                           ,LA SALLE                 ,IL                    ,0001209323,LASALLE BC                    ,LA SALLE                 ,IL,UNITED STATES                           ,0000770639,0000000000,17
2013,0000002515,1,          ,                              ,                         ,  ,01,0000799164,0,EPHRATA NB                                                            ,EPHRATA                  ,PA                    ,0001116681,HIBSHMAN TR FOR EPHRATA NB STK,EPHRATA                  ,PA,UNITED STATES                           ,0000425911,0000000000,42
2013,0000002560,1,          ,                              ,                         ,  ,03,0000079841,0,FARMERS NB OF CYNTHIANA                                               ,CYNTHIANA                ,KY                    ,0001071511,FARMERS NAT BC                ,CYNTHIANA                ,KY,UNITED STATES                           ,0000854418,0000000000,21
2013,0000002725,1,          ,                              ,                         ,  ,03,0000826590,0,FIRST NAT B&TC                                                        ,BELOIT                   ,WI                    ,0001209042,CENTRE 1 BC                   ,BELOIT                   ,WI,UNITED STATES                           ,0000207845,0000000000,55
2013,0000002747,1,          ,                              ,                         ,  ,03,0001845560,0,HORIZON BK NA                                                         ,MICHIGAN CITY            ,IN                    ,0001209136,HORIZON BC                    ,MICHIGAN CITY            ,IN,UNITED STATES                           ,0000130541,0000000000,18
2013,0000002780,1,          ,                              ,                         ,  ,04,0000205737,0,FIRST NB OF WAHOO                                                     ,WAHOO                    ,NE                    ,0001020854,BANK MGMT                     ,WAHOO                    ,NE,UNITED STATES                           ,0000540056,0000000000,31
2013,0000002782,1,          ,                              ,                         ,  ,04,0004319939,0,INTRUST BK NA                                                         ,WICHITA                  ,KS                    ,0001064278,INTRUST FC                    ,WICHITA                  ,KS,UNITED STATES                           ,0000557858,0000000000,20
2013,0000003060,1,          ,                              ,                         ,  ,04,0000222571,0,JONES NB&TC OF SEWARD                                                 ,SEWARD                   ,NE                    ,0001061156,JONES NAT CORP                ,SEWARD                   ,NE,UNITED STATES                           ,0000469559,0000000000,31
2013,0000003105,1,          ,                              ,                         ,  ,04,0000319494,0,FIRST NB                                                              ,WAVERLY                  ,IA                    ,0001206395,FIRST WAVERLY CORP            ,WAVERLY                  ,IA,UNITED STATES                           ,0000376442,0000000000,19
2013,0000003124,1,          ,                              ,                         ,  ,04,0000852855,0,SECURITY NB SIOUX CITY                                                ,SIOUX CITY               ,IA                    ,0001200348,SECURITY NAT CORP             ,DAKOTA DUNES             ,SD,UNITED STATES                           ,0000418249,0000000000,19
